Date,Open,High,Low,Close,Volume,Adj Close
2015-09-25,21.120001,24.290001,20.809999,23.620001,000,23.620001
2015-09-24,23.530001,25.299999,21.809999,23.469999,000,23.469999
2015-09-23,22.09,23.200001,21.139999,22.129999,000,22.129999
2015-09-22,22.969999,26.290001,22.25,22.440001,000,22.440001
2015-09-21,21.969999,22.48,20.049999,20.139999,000,20.139999
2015-09-18,23.07,23.99,20.98,22.280001,000,22.280001
2015-09-17,21.540001,23.33,17.870001,21.139999,000,21.139999
2015-09-16,22.57,22.940001,21.09,21.35,000,21.35
2015-09-15,23.280001,23.77,22.129999,22.540001,000,22.540001
2015-09-14,24.030001,25.32,23.639999,24.25,000,24.25
2015-09-11,25.379999,25.809999,23.15,23.200001,000,23.200001
2015-09-10,26.870001,27.219999,23.530001,24.370001,000,24.370001
2015-09-09,22.389999,26.82,21.51,26.23,000,26.23
2015-09-08,25.049999,26.25,24.129999,24.90,000,24.90
2015-09-04,27.43,29.469999,25.68,27.799999,000,27.799999
2015-09-03,25.209999,26.309999,23.450001,25.610001,000,25.610001
2015-09-02,29.139999,30.450001,24.77,26.09,000,26.09
2015-09-01,31.91,33.82,29.91,31.40,000,31.40
2015-08-31,27.030001,29.370001,26.629999,28.43,000,28.43
2015-08-28,26.690001,29.200001,25.77,26.049999,000,26.049999
2015-08-27,27.110001,29.90,24.49,26.10,000,26.10
2015-08-26,31.129999,35.619999,28.67,30.32,000,30.32
2015-08-25,31.129999,38.060001,28.08,36.02,000,36.02
2015-08-24,28.030001,40.740002,28.030001,40.740002,000,40.740002
2015-08-21,22.549999,28.379999,20.799999,28.030001,000,28.030001
2015-08-20,16.549999,19.24,16.129999,19.139999,000,19.139999
2015-08-19,14.84,15.96,13.73,15.25,000,15.25
2015-08-18,13.41,13.94,13.17,13.79,000,13.79
2015-08-17,14.32,14.52,13.01,13.02,000,13.02
2015-08-14,13.69,13.87,12.80,12.83,000,12.83
2015-08-13,13.87,14.33,13.06,13.49,000,13.49
2015-08-12,15.19,16.280001,13.45,13.61,000,13.61
2015-08-11,13.24,14.33,13.02,13.71,000,13.71
2015-08-10,12.73,12.78,12.18,12.23,000,12.23
2015-08-07,13.57,14.58,13.29,13.39,000,13.39
2015-08-06,12.20,14.25,12.16,13.77,000,13.77
2015-08-05,12.02,12.72,10.88,12.51,000,12.51
2015-08-04,12.66,13.22,12.29,13.00,000,13.00
2015-08-03,12.85,13.55,12.32,12.56,000,12.56
2015-07-31,12.03,12.63,11.82,12.12,000,12.12
2015-07-30,12.72,13.42,12.09,12.13,000,12.13
2015-07-29,13.57,13.59,11.85,12.50,000,12.50
2015-07-28,14.87,15.62,13.32,13.44,000,13.44
2015-07-27,15.60,16.27,15.03,15.60,000,15.60
2015-07-24,12.87,14.73,12.86,13.74,000,13.74
2015-07-23,12.06,13.08,11.73,12.64,000,12.64
2015-07-22,12.77,12.83,12.05,12.12,000,12.12
2015-07-21,12.42,12.79,12.21,12.22,000,12.22
2015-07-20,12.25,12.37,11.71,12.25,000,12.25
2015-07-17,11.77,12.22,11.77,11.95,000,11.95
2015-07-16,12.59,12.61,11.87,12.11,000,12.11
2015-07-15,13.35,13.97,12.81,13.23,000,13.23
2015-07-14,13.91,13.95,12.90,13.37,000,13.37
2015-07-13,15.29,15.36,13.82,13.90,000,13.90
2015-07-10,17.450001,18.17,16.60,16.83,000,16.83
2015-07-09,17.459999,20.049999,17.200001,19.969999,000,19.969999
2015-07-08,17.379999,19.76,16.940001,19.66,000,19.66
2015-07-07,17.219999,19.200001,15.93,16.09,000,16.09
2015-07-06,18.65,18.950001,16.57,17.01,000,17.01
2015-07-02,15.43,17.48,15.39,16.790001,000,16.790001
2015-07-01,16.629999,17.26,15.65,16.09,000,16.09
2015-06-30,17.60,19.799999,17.49,18.23,000,18.23
2015-06-29,16.700001,19.50,15.82,18.85,000,18.85
2015-06-26,14.13,14.91,13.64,14.02,000,14.02
2015-06-25,12.96,14.16,12.92,14.01,000,14.01
2015-06-24,12.57,13.33,12.01,13.26,000,13.26
2015-06-23,12.50,12.68,11.93,12.11,000,12.11
2015-06-22,13.42,13.46,12.43,12.74,000,12.74
2015-06-19,13.35,14.00,12.96,13.96,000,13.96
2015-06-18,14.03,14.03,12.54,13.19,000,13.19
2015-06-17,14.66,15.49,14.07,14.50,000,14.50
2015-06-16,15.62,15.62,14.81,14.81,000,14.81
2015-06-15,15.48,15.57,14.91,15.39,000,15.39
2015-06-12,13.31,14.02,13.30,13.78,000,13.78
2015-06-11,13.04,13.22,12.56,12.85,000,12.85
